inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median;distMip_min;distMip_max;distMip_std;distMip_mean;distMip_median;cpuMip_min;cpuMip_max;cpuMip_std;cpuMip_mean;cpuMip_median;distIg_min;distIg_max;distIg_std;distIg_mean;distIg_median
RC204_C5x;334.9;334.9;0.0;334.9;334.9;0.11;0.118;0.002;0.115;0.115;1;4;1.098;1.967;1.5;334.9;334.9;0.0;334.9;334.9;0.001;0.001;0.0;0.001;0.001;334.9;334.9;0.0;334.9;334.9
RC208_C5x;327.295;327.295;0.0;327.295;327.295;0.204;0.213;0.003;0.208;0.208;73;87;4.152;78.933;77.5;327.295;327.295;0.0;327.295;327.295;0.002;0.002;0.0;0.002;0.002;327.295;327.295;0.0;327.295;327.295
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C101_C10x;538.314;539.726;0.402;538.748;538.959;0.671;0.838;0.033;0.751;0.748;1081;1295;53.109;1190.533;1196.5;538.314;539.726;0.402;538.748;538.959;0.009;0.011;0.001;0.009;0.009;539.726;539.726;0.0;539.726;539.726
C104_C10x;484.319;484.319;0.0;484.319;484.319;0.643;0.836;0.055;0.698;0.675;1184;2498;389.062;1503.2;1343.0;484.319;484.319;0.0;484.319;484.319;0.026;0.06;0.01;0.04;0.036;484.319;484.319;0.0;484.319;484.319
C202_C10x;425.532;425.532;0.0;425.532;425.532;0.567;0.642;0.02;0.599;0.594;1084;1563;113.438;1286.767;1263.5;425.532;425.532;0.0;425.532;425.532;0.041;0.061;0.005;0.051;0.052;425.532;434.264;4.351;430.771;434.264
C205_C10x;415.475;415.475;0.0;415.475;415.475;0.589;0.662;0.019;0.619;0.62;1049;1158;28.252;1104.9;1107.5;415.475;415.475;0.0;415.475;415.475;0.018;0.023;0.001;0.021;0.021;415.475;416.106;0.218;416.022;416.106
R102_C10x;505.498;505.498;0.0;505.498;505.498;0.46;0.6;0.028;0.505;0.5;145;371;41.76;230.267;228.0;505.498;505.498;0.0;505.498;505.498;0.003;0.005;0.001;0.004;0.004;505.498;505.498;0.0;505.498;505.498
R103_C10x;436.075;436.075;0.0;436.075;436.075;0.496;0.557;0.012;0.515;0.516;667;1131;80.523;744.133;734.0;436.075;436.075;0.0;436.075;436.075;0.015;0.025;0.002;0.02;0.02;436.075;436.075;0.0;436.075;436.075
R201_C10x;460.712;466.029;0.971;460.889;460.712;0.882;1.044;0.041;0.959;0.968;2338;2889;161.974;2654.2;2686.5;460.712;466.029;1.013;461.008;460.712;0.093;0.133;0.01;0.113;0.113;460.712;466.029;1.622;465.497;466.029
R203_C10x;436.752;447.105;1.874;446.667;446.966;0.88;1.037;0.042;0.938;0.926;22;68;9.114;39.9;40.0;436.752;448.231;1.894;446.705;446.966;0.002;0.002;0.0;0.002;0.002;436.752;448.231;1.894;446.705;446.966
RC102_C10x;625.33;625.33;0.0;625.33;625.33;0.509;0.609;0.026;0.552;0.552;285;338;13.531;308.867;310.0;625.33;625.33;0.0;625.33;625.33;0.003;0.005;0.0;0.004;0.004;625.33;625.33;0.0;625.33;625.33
RC108_C10x;559.883;559.883;0.0;559.883;559.883;0.39;0.533;0.03;0.425;0.419;172;369;47.386;246.767;243.5;559.883;559.883;0.0;559.883;559.883;0.004;0.006;0.001;0.005;0.005;559.883;560.386;0.153;559.933;559.883
RC201_C10x;495.536;495.866;0.162;495.657;495.536;1.146;1.333;0.048;1.237;1.232;2414;2808;89.739;2565.2;2545.0;495.536;495.866;0.162;495.657;495.536;0.076;0.09;0.004;0.084;0.084;495.866;495.866;0.0;495.866;495.866
RC205_C10x;576.165;576.842;0.341;576.549;576.842;0.906;1.101;0.048;1.006;1.014;1159;1595;104.784;1395.967;1407.5;576.165;576.842;0.341;576.549;576.842;0.02;0.033;0.003;0.025;0.026;576.165;576.842;0.124;576.819;576.842
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C103_C15x;575.182;585.876;4.278;582.193;585.203;2.874;3.772;0.24;3.265;3.247;5794;7470;458.237;6505.733;6408.0;575.182;585.876;4.278;582.193;585.203;1.0;1.312;0.073;1.158;1.144;579.335;586.021;2.658;583.85;585.876
C106_C15x;516.603;516.603;0.0;516.603;516.603;1.674;3.424;0.587;2.647;2.753;2664;5297;903.019;4210.333;4547.0;516.603;516.603;0.0;516.603;516.603;0.584;1.27;0.241;0.994;1.076;516.603;520.643;2.036;518.892;520.643
C202_C15x;550.315;565.473;3.639;553.677;555.418;0.788;3.824;0.82;1.785;1.583;1094;5936;1281.365;2870.0;2570.5;550.315;565.473;3.639;553.677;555.418;0.102;1.199;0.308;0.468;0.368;555.418;612.605;15.014;563.482;555.418
C208_C15x;550.016;556.576;2.822;551.547;550.016;0.621;3.862;1.238;2.122;1.886;721;5441;1722.893;2911.967;2756.5;550.016;556.576;2.822;551.547;550.016;0.097;1.56;0.551;0.748;0.598;550.016;606.703;24.578;566.882;556.576
R102_C15x;698.719;704.048;1.412;701.397;700.618;0.487;0.699;0.047;0.601;0.604;428;948;130.248;677.033;667.0;698.719;704.048;1.412;701.397;700.618;0.015;0.031;0.004;0.022;0.022;703.921;738.302;8.179;714.135;710.898
R105_C15x;607.961;613.553;1.109;608.273;608.004;0.134;0.224;0.018;0.171;0.168;200;609;75.609;387.333;385.0;607.961;613.553;1.109;608.273;608.004;0.011;0.03;0.004;0.019;0.018;607.968;615.039;2.03;610.445;611.327
R202_C15x;593.686;593.715;0.012;593.709;593.715;0.438;0.701;0.06;0.563;0.562;598;1128;118.443;849.333;842.5;593.686;593.715;0.012;593.709;593.715;0.069;0.199;0.028;0.128;0.128;593.686;593.738;0.015;593.72;593.715
R209_C15x;475.099;539.421;16.88;483.524;476.607;0.367;1.641;0.305;0.815;0.766;116;1732;395.578;797.933;757.0;475.099;539.421;21.369;488.015;476.607;0.008;0.698;0.177;0.24;0.206;475.099;540.809;25.603;493.187;482.881
